NATURES OF CRIMES,CASE NUMBERS,"DATE/TIMEREPORTED","DATE/TIMEOCCURRED",GENERAL LOCATION
Damaged Property,16-1365,11-03-16/2109,11-03-16/2105,Upper Campus,Inactive
Sick Person,16-1366,11-03-16/2140,11-03-16/2140,Burr Gym,Inactive
No Report,16-1367,,,,
Lost Property,16-1368,11-04-16/0259,11-04-16/0255,4th St. NW,Inactive
Fire Alarm Activation,16-1369,11-04-16/0452,11-04-16/0452,Plaza Towers,Inactive
Assault on a Police Officer,16-1370,11-04-16/0637,11-04-16/0630,HU Hospial,Active
Miscellaneous,16-1371,11-04-16/0927,11-04-16/0927,Blackburn Center,Inactive
Threats,16-1372,11-04-16/1036,11-04-16/1036,Business Lot,Active
Sick Person,16-1373,11-04-16/1130,11-04-16/1100,Mental Health Clinic,Inactive
Miscellaneous,16-1374,11-04-16/1332,11-04-16/1332,Quadrangle Hall`,Inactive
Fire Alarm Activation,16-1375,11-04-16/1412,11-04-16/1411,Cook Hall,Inactive
Fire Alarm Activation,16-1376,11-04-16/1833,11-04-16/1832,Plaza Towers,Inactive
Miscellaneous,16-1377,11-05-16/0002,11-05-16/2320,HU Hospial,Inactive
Fire Alarm Activation,16-1378,11-05-16/0037,11-05-16/0037,Stokes Library,Inactive
Fire Alarm Activation,16-1379,11-05-16/0400,11-05-16/0400,Plaza Towers,Inactive
Fire Alarm Activation,16-1380,11-05-16/0421,11-05-16/0421,Slowe Hall,Inactive
Fire Alarm Activation,16-1381,11-05-16/1440,11-05-16/1440,Plaza Towers,Inactive
Theft 2,16-1382,11-05-16/1851,11-05-16/1851,Ira Aldridge Theatre,Active
Theft From Auto,16-1383,11-05-16/2137,11-05-16/2137,6th St  NW,Active
Fire Alarm Activation,16-1384,11-06-16/0113,11-06-16/0113,Plaza Towers,Inactive
Miscellaneous,16-1385,11-06-16/0434,11-06-16/0434,HU Hospial,Inactive
Armed Robbery,16-1386,11-06-16/1540,11-06-16/1540,400 blk of College St NW,Active
Vehicle Accident,16-1387,11-06-16/1813,11-06-16/1813,Howard Center,Active
Fire Alarm Activation,16-1388,11-06-16/1845,11-06-16/1845,Burr Gym,Inactive
Sick Person,16-1389,11-06-16/2345,11-06-16/2345,HU Hospial,Inactive
Theft 1,16-1390,11-06-16/0132,11-06-16/0132,HU Hospial,Active
No Report,16-1391,,,,
Miscellaneous,16-1392,11-07-16/0307,11-07-16/0307,Side of Drew Hall,Inactive
Credit Card Fraud,16-1393,11-07-16/1024,11-07-16/1024,Cook Hall,Active
Injured Person,16-1394,11-07-16/1030,11-07-16/1030,HU Hospital,Active
Theft 2,16-1395,11-07-16/1239,11-07-16/1239,HU Hospital,Active
Lost Property,16-1396,11-07-16/1434,11-07-16/1434,Biology Bldg.,Inactive
Lost Property,16-1397,11-07-16/1612,11-07-16/1612,Plaza Towers,Inactive
Theft 2,16-1398,11-07-16/1555,11-07-16/1555,Plaza Towers,Active
Robbery Snatch,16-1399,11-07-16/1618,11-07-16/1620,4th & College St NW,Active
Theft From Auto,16-1400,11-07-16/1750,11-07-16/1752,2400 blk 6th St NW,Active
Theft From Auto,16-1401,11-07-16/1822,11-07-16/1822,2400 blk 6th St NW,Active
Damaged Property,16-1402,11-07-16/1609,11-07-16/1609,HU Research Lab,Inactive
Theft From Auto,16-1403,11-07-16/1804,11-07-16/1804,8th & Barry Pl NW,Active
Miscellaneous,16-1404,11-07-16/1907,11-07-16/1907,Slowe Hall,Inactive
No Report,16-1405,,,,
Found Property,16-1406,11-07-16/0745,11-07-16/0745,Drew Hall,Inactive
Sick Person,16-1407,11-08-16/1030,11-08-16/1030,College Hall South,Inactive
Threats to do bodily harm,16-1408,11-08-16/1230,11-08-16/1230,Blackburn Center,Active
Lost Property,16-1409,11-08-16/1713,11-08-16/1713,Main Gate,Inactive
Theft 1,16-1410,11-08-16/1743,11-08-16/1743,Fine Arts Building,Active
Threats to do bodily harm,16-1411,11-09-16/0040,11-09-16/0040,Off Campus,Active
Sick Person,16-1412,11-09-16/0117,11-09-16/0118,Drew Hall,Inactive
Found Property,16-1413,11-09-16/1025,11-09-16/1025,I-Lab,Inactive
Vandalism,16-1414,11-09-16/1143,11-09-16/1143,Beltsville Property,Active
Miscellaneous,16-1415,11-09-16/1112,11-09-16/1112,C.B. Powell Building,Inactive
Found Property,16-1416,11-09-16/1451,11-09-16/1453,Quadrangle Hall,Inactive
Damaged Property,16-1417,11-09-16/1644,11-09-16/1644,Wonder Plaza,Inactive
Theft From Auto,16-1418,11-09-16/2013,11-09-16/2013,2100 blk 5th St,Active
Sick Person,16-1419,11-09-16/2022,11-09-16/2022,College Hall North,Inactive
Sick Person,16-1420,11-09-16/2050,11-09-16/2050,HU Hospital,Inactive
Sick Person,16-1421,11-09-16/0118,11-09-16/0118,HU Hospital,Inactive
Unlawful Entry,16-1422,11-10-16/0950,11-10-16/0950,Banneker South Parking Lot,Active
Lost Property,16-1423,11-10-16/1632,11-10-16/1632,On Campus,Inactive
Theft From Auto,16-1424,11-10-16/1725,11-10-16/1725,Howard Pl. NW,Active
Unlawful Entry,16-1425,11-10-16/2009,11-10-16/2009,HU Hospital,Active
Student Misconduct,16-1426,11-10-16/2019,11-10-16/2019,Cook Hall,Active
Sick Person,16-1427,11-10-16/2128,11-10-16/2128,HU Hospital,Inactive
Sick Person,16-1428,11-10-16/2135,11-10-16/2135,HU Hospital,Inactive
Sick Person,16-1429,11-10-16/2212,11-10-16/2213,HU Hospital,Inactive
Fire Alarm Activation,16-1430,11-10-16/1652,11-10-16/1651,Student Health Clinic,Inactive
Suspicious Odor,16-1431,11-10-16/2310,11-10-16/2310,Slowe Hall,Active
Lost Property,16-1432,11-11-16/0020,11-11-16/0020,Fine Arts Building,Inactive
Miscellaneous,16-1433,11-11-16/1047,11-11-16/1047,College Hall North,Inactive
Fire Alarm Activation,16-1434,11-11-16/1612,11-11-16/1612,College Hall North,Inactive
Fire Alarm Activation,16-1435,11-12-16/1819,11-12-16/1819,Cook Hall,Inactive
Stalking,16-1436,11-13-16/1314,11-13-16/1314,Slowe Hall,Active
Hazardous Water Leak,16-1437,11-13-16/2341,11-13-16/2341,Slowe Hall,Inactive
Sick Person,16-1438,11-14-16/0143,11-14-16/0143,HU Hospital,Inactive
Damaged Property,16-1439,11-14-16/0945,11-14-16/0945,Upper Campus,Inactive
Theft From Auto,16-1440,11-14-16/1342,11-14-16/1342,Annex 3,Active
Theft From Auto,16-1441,11-14-16/1435,11-14-16/1435,Cook Hall,Active
Theft From Auto,16-1442,11-14-16/1820,11-14-16/1820,Barry Pl NW,Active
Credit Card Fraud,16-1443,11-15-16/0845,11-15-16/0845,Off Campus,Active
Sick Person,16-1444,11-15-16/1052,11-15-16/1052,Social Work,Inactive
Miscellaneous,16-1445,11-15-16/1433,11-15-16/1433,Douglass Hall,Inactive
Vehicle Accident,16-1446,11-15-16/1346,11-15-16/1346,Childers Lot,Active
Theft 2,16-1447,11-15-16/1816,11-15-16/1816,HU Hospital,Active
Threats to do bodily harm,16-1448,11-15-16/1816,11-15-16/1620,HU Hospital,Active
Threats to do bodily harm,16-1449,11-15-16/1732,11-15-16/1732,Blackburn Center,Active
Damaged Property,16-1450,11-15-16/1841,11-15-16/1843,Wonder Plaza,Inactive
Student Misconduct,16-1451,11-15-16/1836,11-15-16/1836,Blackburn Center,Active
Sick Person,16-1452,11-15-16/1801,11-15-16/1803,Drew Hall,Inactive
Threats to do bodily harm,16-1453,11-15-16/2037,11-15-16/2037,Off Campus,Inactive
Fire Alarm Activation,16-1454,11-15-16/1931,11-15-16/1931,Carnegie Hall,Inactive
Sick Person,16-1455,11-15-16/2144,11-15-16/2144,HU Hospital,Inactive
Fire Alarm Activation,16-1456,11-16-16/0853,11-16-16/0853,HURB 1,Inactive
Robbery Snatch,16-1457,11-16-16/1027,11-16-16/1027,Lower Campus,Active
Theft 2,16-1458,11-16-16/1450,11-16-16/1450,HU Hospital,Active
Sick Person,16-1459,11-16-16/1853,11-16-16/1853,Bethune Hall,Inactive
Sick Person,16-1460,11-16-16/2200,11-16-16/2200,HU Hospital,Inactive
Hazardous Elevator,16-1461,11-16-16/2158,11-16-16/2153,Bethune Hall,Inactive
Fire,16-1462,11-17-16/0102,11-17-16/0102,Howard Center,Active
Fire Alarm Activation,16-1463,11-17-16/0200,11-17-16/0200,Cook Hall,Inactive
Sick Transport,16-1464,11-17-16/0347,11-17-16/0347,Drew Hall,Inactive
Theft 2,16-1465,11-17-16/0656,11-17-16/0656,Lower Campus,Active
Lost Property,16-1466,11-17-16/0954,11-17-16/0954,Dental School,Inactive
Simple Assault,16-1467,11-17-16/1248,11-17-16/1248,HU Hospital,Active
Vehicle Accident,16-1468,11-17-16/1247,11-17-16/1247,Lower Campus,Active
Theft From Auto,16-1469,11-17-16/1555,12-17-16/1555,6th & Girard St,Active
Fire Alarm Activation,16-1470,11-17-16/1739,11-17-16/1739,Student Health Clinic,Inactive
Lost Property,16-1471,11-17-16/1647,11-17-16/1647,Blackburn Center,Inactive
Found Property,16-1472,11-17-16/1701,11-17-16/1701,Blackburn Center,Inactive
Verbal Dispute,16-1473,11-17-16/1953,11-17-16/1953,HU Hospital,Active
Damaged Property,16-1474,11-17-16/2236,11-17-16/2236,Childers Lot,Inactive
Sick Person,16-1475,11-18-16/0856,11-18-16/0856,Drew Hall,Inactive
Miscellaneous,16-1476,11-18-16/1403,11-18-16/1403,Bethune Hall,Inactive
Theft From Auto,16-1477,11-18-16/1331,11-18-16/1331,Bryant St NW,Active
Hit & Run,16-1478,11-19-16/0123,11-19-16/0123,East towers Lot,Active
Sick Person,16-1479,11-19-16/0243,11-19-16/0243,Bethune Hall,Inactive
Miscellaneous,16-1480,11-19-16/1053,11-19-16/1053,Quadrangle Hall,Inactive
Theft From Auto,16-1481,11-19-16/1543,11-19-16/1543,8 St NW,Active
Hazardous Elevator,16-1482,11-19-16/1626,11-19-16/1626,Bethune Hall,Inactive
Disorderly,16-1483,11-19-16/1725,11-19-16/1725,HU Hospital,Active
Sick Person,16-1484,11-20-16/0155,11-20-16/0155,Quadrangle Hall,Inactive
Miscellaneous,16-1485,11-20-16/1630,11-20-16/1630,Quadrangle Hall,Inactive
Theft 2,16-1486,11-21-16/0905,11-21-16/0905,HU Hospital,Active
Fire Alarm Activation,16-1487,11-21-16/0823,11-21-16/0823,Chemistry Building,Inactive
Lost Property,16-1488,11-21-16/1336,11-21-16/1336,9th & V,Inactive
Fire Alarm Activation,16-1489,11-21-16/1827,11-21-16/1827,College Hall North,Inactive
Simple Assault/Domestic Violence,16-1490,11-21-16/1731,11-21-16/1731,Drew Hall,Active
Miscellaneous,16-1491,11-21=16/2237,11-21-16/2237,College Hall South,Inactive
Unlawful Entry,16-1492,11-21=16/2355,11-21-16/2355,HU Hospital,Active
Student Misconduct,16-1493,11-22-16/1110,11-22=16/1110,Bethune Hall,Active
Vehicle Accident,16-1494,11-22-16/1609,11-22-16/1609,2100 Blk Ga Ave NW,Active
Lost Property,16-1495,11-22-16/1622,11-22=16/1622,Blackburn Center,Inactive
Theft From Auto,16-1496,11-22=16/1606,11-22-16/1606,Student Health Clinic,Active
Destruction of Property,16-1497,11-22-16/1632,11-22-16/1632,Childers Lot,Active
Sick Person,16-1498,11-22-16/1853,11-22-16/1853,Locke Hall,Inactive
Injured Person,16-1499,11-23-16/0002,11-23-16/0002,Quadrangle Hall,Active
Hazardous Water Leak,16-1500,11-23-16/0612,11-23-16/0612,Service Center,Inactive
Vehicle Accident,16-1501,11-25-16/0007,11-25-16/0007,2nd & Elm St NW,Active
No Report,16-1502,,,,
Hazardous Water Leak,16-1503,11-27-16/0904,,Slowe Hall,Inactive
Hazardous Elevator,16-1504,11-27-16/1736,11-27-16/1736,Bethune Hall,Inactive
Lost Property,16-1505,11-28-16/1044,11-28-16/1044,Service Center,Inactive
No Report,16-1506,,,,
Damaged Property,16-1507,11-28-16/1338,,East Towers Parking Lot,Inactive
Miscellaneous,16-1508,11-28-16/2042,11-28-16/2044,Whut,Inactive
Harassment,16-1509,11-29-16/0852,11-29-16/0854,West Campus,Active
Hazardous Elevator,16-1510,11-29-16/1038,11-29-16/1040,Blackburn Center,Inactive
Fire Alarm Activation,16-1511,11-29-16/1643,11-29-16/1645,Wonder Plaza,Inactive
Theft From Auto,16-1512,11-29-16/1608,11-29-16/1610,Bryant St NW,Active
Sick Transport,16-1513,11-29-16/1908,11-29-16/1910,Drew Hall,Inactive
Sick Person,16-1514,11-29-16/2111,11-29-16/2113,HU Hospital,Inactive
Unlawful Entry,16-1515,11-29-16/2155,11-29-16/2157,HU Hospital,Active
Sick Person,16-1516,11-30-16/1216,11-30-16/1218,HU Hospital,Inactive
Attempt Robbery,16-1517,11-30-16/1413,11-30-16/1415,School of Business,Active
Fire Alarm Activation,16-1518,11-30-16/1646,11-30-16/1648,Student Health Clinic,Inactive
Verbal Dispute,16-1519,11-30-16/1909,11-30-16/1911,HU Hospital,Active
Hazardous Water Leak,16-1520,11-30-16/2012,11-30-16/2014,Fine Arts Building,Inactive
Fire Alarm Activation,16-1521,11-30-16/2028,11-30-16/2028,College Hall South,Inactive
Student Misconduct,16-1522,11-30-16/2127,11-30-16/2127,Drew Hall,Active
Sick Person,16-1523,11-30-16/2249,11-30-16/2251,Washington Hospital Center,Inactive
Injured Person,16-1524,11-30-16/2249,11-30-16/2251,Plaza Towers,Inactive
Sick Person,16-1525,11-30-16/2249,11-30-16/2251,Drew Hall,Inactive
Miscellaneous,16-1526,11-30-16/2249,11-30-16/2251,Drew Hall,Inactive
Theft From Auto,16-1527,11-30-16/2249,11-30-16/2251,Burr Gym,Active
Hazardous Elevator,16-1528,11-30-16/2249,11-30-16/2251,Blackburn Center,Inactive
Sick Person,16-1529,11-30-16/2249,11-30-16/2251,Locke Hall,Inactive
Student Misconduct,16-1530,11-30-16/2249,11-30-16/2251,Academic B,Active
Theft From Auto,16-1531,11-30-16/2249,11-30-16/2251,side of Cook Hall,Active
Miscellaneous,16-1532,11-30-16/2249,11-30-16/2251,HU Hospital,Inactive
Theft 2,16-1533,11-30-16/2249,11-30-16/2251,Plaza Towers,Active
Sick Person,16-1534,11-30-16/2249,11-30-16/2251,HU Hospital,Inactive
Loud  Noise,16-1535,11-30-16/2249,11-30-16/2251,600 Gresham Pl NW,Active
Injured Person,16-1536,11-30-16/2249,11-30-16/2251,Service Center,Active
Sick Person,16-1537,11-30-16/2249,11-30-16/2251,Chemistry Bldg,Active
Student Misconduct,16-1538,11-30-16/2249,11-30-16/2251,Cook Hall,Active
Vehicle Accident,16-1539,11-30-16/2249,11-30-16/2251,A-2 Garage,Active
Sick Person,16-1540,11-30-16/2249,11-30-16/2251,Quadrangle Hall,Inactive
Fire Alarm Activation,16-1541,11-30-16/2249,11-30-16/2251,Cook Hall,Inactive
Miscellaneous,16-1542,11-30-16/2249,11-30-16/2251,Quadrangle Hall,Inactive
Sick Person,16-1543,11-30-16/2249,11-30-16/2251,HU Hospital,Inactive
Sick Person,16-1544,11-30-16/2249,11-30-16/2251,Drew Hall,Inactive
Simple Assault,16-1545,11-30-16/2249,11-30-16/2251,HU Hospital,Active
Injured Person,16-1546,11-30-16/2249,11-30-16/2251,HU Hospital,Active
Fire Alarm Activation,16-1547,11-30-16/2249,11-30-16/2251,Cook Hall,Inactive
Fire Alarm Activation,16-1548,11-30-16/2249,11-30-16/2251,Pharmacy Bldg.,Inactive
Found Property,16-1549,11-30-16/2249,11-30-16/2251,Upper Campus,Inactive
Theft From Auto,16-1550,11-30-16/2249,11-30-16/2251,500 blk of Gresham Pl. NW,Active
Damaged Property,16-1551,11-30-16/2249,11-30-16/2251,4th & College St,Inactive
Sick Person,16-1552,11-30-16/2249,11-30-16/2251,HU Hospital,Inactive
Sick Person,16-1553,11-30-16/2249,11-30-16/2251,Plaza Towers,Inactive
Sick Person,16-1554,11-30-16/2249,11-30-16/2251,Drew Hall,Inactive
Damaged Property,16-1555,11-30-16/2249,11-30-16/2251,Plaza Towers,Inactive
Sick Transport,16-1556,11-30-16/2249,11-30-16/2251,Drew Hall,Inactive
Theft 1,16-1557,11-30-16/2249,11-30-16/2251,Fine Arts Building,Active
Sick Person,16-1558,11-30-16/2249,11-30-16/2251,HU Hospital,Inactive
Fire Alarm Activation,16-1559,11-30-16/2249,11-30-16/2251,HU Hospital,Inactive
Student Misconduct,16-1560,11-30-16/2249,11-30-16/2251,Cook Hall,Active
Sick Person,16-1561,11-30-16/2249,11-30-16/2251,HU Hospital,Inactive
Theft From Auto,16-1562,11-30-16/2249,11-30-16/2251,Banneker North Lot,Active
Sick Person,16-1563,11-30-16/2249,11-30-16/2251,Wonder Plaza,Inactive
Fire Alarm Activation,16-1564,11-30-16/2249,11-30-16/2251,College Hall South,Inactive
Fire Alarm Activation,16-1565,11-30-16/2249,11-30-16/2251,Slowe Hall,Inactive
Miscellaneous,16-1566,11-30-16/2249,11-30-16/2251,HU Hospital,Inactive
Sick Person,16-1567,11-30-16/2249,11-30-16/2251,HU Hospital,Inactive
Fire Alarm Activation,16-1568,11-30-16/2249,11-30-16/2251,Lower campus,Inactive
Theft 2,16-1569,11-30-16/2249,11-30-16/2251,Mudd Bldg.,Active
Fire Alarm Activation,16-1570,11-30-16/2249,11-30-16/2251,Cook Hall,Inactive
Student Misconduct,16-1571,11-30-16/2249,11-30-16/2251,Drew Hall,Active
Theft From Auto,16-1572,11-30-16/2249,11-30-16/2251,600 blk of Bryant St,Active
Sick Person,16-1573,11-30-16/2249,11-30-16/2251,HU Hospital,Inactive
Lost Property,16-1574,11-30-16/2249,11-30-16/2251,Quadrangle Hall,Inactive
Sick Person,16-1575,11-30-16/2249,11-30-16/2251,Bethune Hall,Inactive
Fire Alarm Activation,16-1576,11-30-16/2249,11-30-16/2251,College Hall South,Inactive
Disorderly,16-1577,12-09-16/0908,12-09-16/0908,Dental School,Active
Suspicious Odor,16-1578,12-09-16/1353,12-09-16/1353,Bethune Hall,Active
Simple Assault,16-1579,12-10-16/1129,12-10-16/1129,HU Hospital,Active
No Report,16-1580,,,,
Found Property,16-1581,12-10-16/1452,12-10-16/1452,Service Center,Inactive
Sick Person,16-1582,12-10-16/2117,12-10-16/2117,HU Hospital,Inactive
Theft From Auto,16-1583,12-10-16/2221,12-10-16/2221,6th St NW,Active
Fire Alarm Activation,16-1584,12-10-16/2234,12-10-16/2234,Slowe Hall,Inactive
Hazardous Water Leak,16-1585,12-11-16/1827,12-11-16/1827,Adams Bldg.,Inactive
Suspicious Odor,16-1586,12-12-16/1308,12-12-16/1308,Bethune Hall,Active
Credit Card Fraud,16-1587,12-12-16/1538,12-12-16/1530,Quadrangle Hall,Active
No Report,16-1588,,,,
Theft From Auto,16-1589,12-13-16/1542,12-13-16/1542,Plaza Towers,Active
Destruction of Property,16-1590,12-13-16/1747,12-13-16/1747,A-1 rear Lot,Active
Simple Assault,16-1591,12-13-16/1726,12-13-16/1726,Engineering Bldg.,Active
Sick Person,16-1592,12-14-16/0420,12-14-16/0420,Hu Hospital,InACTIVE
Unlawful Entry,16-1593,12-14-16/1058,12-14-16/1058,Plaza Towers,Active
Hazardous Odor,16-1594,12-14-16/1043,12-14-16/1043,HURB 1,InACTIVE
Damaged Property,16-1595,12-14-16/1600,12-14-16/1600,2216 6th St NW,InACTIVE
Theft From Auto,16-1596,12-14-16/1704,12-14-16/1704,Stokes Library,Active
Theft From Auto,16-1597,12-14-16/1935,12-14-16/1935,College St. NW,Active
Found Property,16-1598,12-15-16/1225,12-15-16/1225,Off Campus,InACTIVE
Fire Alarm Activation,16-1599,12-16-16/0428,12-16-16/0428,Quadrangle Hall,Inactive
Damaged Property,16-1600,12-16-16/1229,12-16-16/1229,Service Center,Active
Damaged Property,16-1601,12-16-16/1611,12-16-16/1611,Bethune hall,InACTIVE
Fire Alarm Activation,16-1602,12-17-16/0431,12-17-16/0431,Slowe Hall,InACTIVE
Hazardous Water Leak,16-1603,12-17-16/1420,12-17-16/1420,Hu Hospital,InACTIVE
Fire Alarm Activation,16-1604,12-17-16/1533,12-17-16/1533,Quadrangle Hall,InACTIVE
Fire,16-1605,12-17-16/1634,12-17-16/1634,Power Plant,Active
Hazardous Water Leak,16-1606,12-17-16/1712,12-17-16/1712,Locke Hall,InACTIVE
theft 2,16-1607,12-18-16/1415,12-18-16/1415,Hu Hospital,Active
Vehicle Accident,16-1608,12-19-16/1107,12-19-16/1107,Engineering Bldg.,Active
Found Property,16-1609,12-19-16/1353,12-19-16/1353,Hu Hospital,InACTIVE
Damaged Property,16-1610,12-19-16/1229,12-19-16/1229,On Campus,InACTIVE
Hazardous Water Leak,16-1611,12-19-16/2030,12-19-16/2030,Hu Hospital,InACTIVE
Sick Person,16-1612,12-20-16/1609,12-20-16/1609,Student Health Clinic,InACTIVE
Fire Alarm Activation,16-1613,12-21-16/2258,12-21-16/2258,Hu Hospital,InACTIVE
Fire Alarm Activation,16-1614,12-24-16/1255,12-24-16/1255,HU Research lab,InACTIVE
Fire,16-1615,12-24-16/1838,12-24-16/1838,On Campus,Active
Destruction of Property,16-1616,12-24-16/2347,12-24-16/2347,Wonder Plaza,InACTIVE
Fire Alarm Activation,16-1617,12-24-16/2347,12-24-16/2347,Hu Hospital,InACTIVE
Elope Patient,16-1618,12-27-16/1455,12-27-16/1455,Hu Hospital,InACTIVE
Miscellaneous,16-1619,12-27-16/2119,12-27-16/2119,Hu Hospital,InACTIVE
Threats,16-1620,12-28-16/0317,12-28-16/0317,Hu Hospital,Active
Hazardous Odor,16-1621,12-28-16/0904,12-28-16/0904,Lower Campus,InACTIVE
Lost Property,16-1622,12-28-16/1158,12-28-16/1158,Hu Hospital,InACTIVE
No Report,16-1623,,,,
Simple Assault,16-1624,12-29-16/2158,12-29-16/2158,Hu Hospital,Active
Fire,16-1625,12-30-16/1541,12-30-16/1541,Off Campus,Active
Fire Alarm Activation,16-1626,12-31-16/1442,12-31-16/1442,Pharmacy Bldg.,InACTIVE
Hazardous Water Leak,16-1627,12-31-16/1721,12-31-16/1721,Pharmacy Bldg.,InACTIVE
