natures_of_crimes,case_numbers,date_reported,time_reported,date_occurred,time_occurred,general_location,disposition,year_reported,year_occured
Fire Alarm Activation,13-0321,2003-06-13,0815,2003-06-13,0715,Carnegie Bldg.,Inactive,2003,2003
Sick Transport,13-0322,2003-06-13,1025,2003-06-13,0911,Plaza Towers,Inactive,2003,2003
Student Misconduct,13-0323,2003-06-13,1441,2003-06-13,1438,Plaza Towers,Active,2003,2003
Student Misconduct,13-0324,2003-06-13,2130,2003-06-13,2020,Meridian Hill,Active,2003,2003
Damaged Property,13-0325,2003-07-13,0836,2003-07-13,0836,Mudd Bldg.,Inactive,2003,2003
Fire Alarm Activation,13-0326,2003-07-13,1320,2003-07-13,1305,Meridian Hill Inactive,NA,2003,2003
Miscellaneous,13-0327,2003-07-13,1616,2003-07-13,1500,Bethune Annex Inactive,NA,2003,2003
Fire,13-0328,2003-07-13,1825,2003-07-13,1657,Quadrangle Hall Active,NA,2003,2003
Theft from Auto,13-0329,2003-07-13,1600,2003-07-13,1600,500 blk Gresham Active,NA,2003,2003
Miscellaneous,13-0330,2003-07-13,0645,2003-07-13,0600,Fine Arts Bldg. Inactive,NA,2003,2003
Injured Person,13-0331,2003-08-13,1330,2003-08-13,1025,Childers Lot Inactive,NA,2003,2003
Injured Person,13-0332,2003-08-13,1340,2003-08-13,1055,Cramton Auditorium Inactive,NA,2003,2003
Vehicle Accident,13-0333,2003-08-13,1415,2003-08-13,1410,Mackey Lot Inactive,NA,2003,2003
Sick Person,13-0334,2003-08-13,1453,2003-08-13,1420,6th & Howard Pl Inactive,NA,2003,2003
Unlawful Entry,13-0335,2003-08-13,1500,2003-08-13,1410,Stokes Library Active,NA,2003,2003
Unlawful Entry,13-0336,2003-08-13,1500,2003-08-13,1300,Academic A Active,NA,2003,2003
Unlawful Entry,13-0337,2003-08-13,1900,2003-08-13,1802,Greene Stadium Active,NA,2003,2003
Sick Person,13-0338,2003-08-13,2145,2003-08-13,2110,Drew Hall Inactive,NA,2003,2003
Theft from Auto,13-0339,2003-08-13,2301,2003-08-13,2220,Childers Lot Active,NA,2003,2003
Theft from Auto,13-0340,2003-08-13,2301,2003-08-13,2220,Childers Lot Active,NA,2003,2003
Hazardous Elevator,13-0341,2003-09-13,0226,2003-09-13,0120,Howard Plaza East Inactive,NA,2003,2003
Theft II,13-0342,2003-09-13,0630,2003-09-13,0400,Carver Hall Active,NA,2003,2003
Theft II,13-0343,2003-09-13,1400,2003-09-13,1230,Sports Zone Active,NA,2003,2003
Destruction Of Property,13-0344,2003-09-13,1600,2003-09-13,1530,Howard Center Active,NA,2003,2003
Miscellaneous,13-0345,2003-10-13,1237,2003-10-13,1237,A-2 Garage Inactive,NA,2003,2003
No Reports,NA,2003-11-13,,2003-11-13,,NA,NA,2003,2003
Injured Person,13-0347,2003-12-13,0840,2003-12-13,0840,Burr Lot Inactive,NA,2003,2003
Theft From Auto,13-0348,2003-12-13,1338,2003-12-13,1250,Columbia Rd. NW Inactive,NA,2003,2003
Domestic Violence,13-0349,2003-12-13,1500,2003-12-13,1453,Howard Plaza West Active,NA,2003,2003
Damaged Property,13-0350,NA,2157,NA,1515,Slowe Hall Active,NA,NA,NA
Damaged Property,13-0351,NA,0215,NA,0147,HU Service Center Active,NA,NA,NA
Damaged Property,13-0352,NA,1256,NA,0853,Howard Center Inactive,NA,NA,NA
Sick Person,13-0353,NA,1300,NA,1140,Student Health Center Inactive,NA,NA,NA
Damaged Property,13-0354,NA,1300,NA,1200,Main Yard Inactive,NA,NA,NA
Fire Alarm Activation,13-0355,NA,1335,NA,1300,Blackburn Center Inactive,NA,NA,NA
Damaged Property,13-0356,NA,0805,NA,0805,HU Service Center Active,NA,NA,NA
Hazardous Water,13-0357,NA,1749,NA,1629,Burr Gym Inactive,NA,NA,NA
Destruction of Property,13-0358,NA,1815,NA,1733,5th & W Street NW Active,NA,NA,NA
Theft II,13-0359,NA,0814,NA,0118,McDonald's Active,NA,NA,NA
Fire Alarm Activation 13-0360,NA,NA,1105,NA,1105,Cook Hall Inactive,NA,NA,NA
Fire Alarm Activation 13-0361,NA,NA,1305,NA,1300,Slowe Hall Inactive,NA,NA,NA
Destruction of Property 13-0362,NA,NA,0927,NA,0927,Drew Lot Active,NA,NA,NA
Theft From Auto 13-0363,NA,NA,1730,NA,1644,500 Block Gresham Pl. Active,NA,NA,NA
Theft From Auto 13-0364,NA,NA,,NA,,Burr Lot Active,NA,NA,NA
Miscellaneous 13-0365,NA,NA,1540,NA,1330,Engineering Inactive,NA,NA,NA
Damaged Property 13-0366,NA,NA,1530,NA,0724,HU Service Center Gar Active,NA,NA,NA
Sick Transport 13-0367,NA,NA,0941,NA,0941,Student Health Center Inactive,NA,NA,NA
Sick Person 13-0368,NA,NA,1145,NA,1100,Blackburn Center Inactive,NA,NA,NA
False Fire Alarm 13-0369,NA,NA,1420,NA,1410,Meridian Hill Inactive,NA,NA,NA
Student Miscondut13-0370,NA,NA,1945,NA,1855,Howard Plaza West Active,NA,NA,NA
ADW/Stick 13-0371,NA,NA,2210,NA,1723,8t & Barry Pl. NW Active,NA,NA,NA
Injured Person 13-0378,NA,NA,2325,NA,2247,Slowe Hall Inactive,NA,NA,NA
Sick Transport 13-0372,NA,NA,0145,NA,0048,Quadrangle Inactive,NA,NA,NA
Sick Transport 13-0373,NA,NA,1155,NA,1140,Meridian Hill Inactive,NA,NA,NA
Sick Transport 13-0374,NA,NA,1236,NA,1231,Student Health Center Inactive,NA,NA,NA
Lost Property 13-0375,NA,NA,1340,NA,2300,"Gwynn Oak, MD Inactive",NA,NA,NA
Sick Person 13-0376,NA,NA,2013,NA,2000,Baldwin Hall Inactive,NA,NA,NA
Theft II 13-0377,NA,NA,2347,NA,2100,Blackburn Center Active,NA,NA,NA
Found Property 13-0379,NA,NA,0950,NA,0925,Blackburn Inactive,NA,NA,NA
Sick Transport 13-0380,NA,NA,1400,NA,1225,Howard Plaza East Inactive,NA,NA,NA
Miscellaneous 13-0381,NA,NA,0950,NA,0920,500 Blk of W St Inactive,NA,NA,NA
Sick Person 13-0382,NA,NA,0930,NA,0930,Meridian Hill Inactive,NA,NA,NA
Sick Transport 13-0383,NA,NA,1230,NA,0003,Bethune Annex Inactive,NA,NA,NA
Poss. With intent 13-0384,NA,NA,1100,NA,1100,Meridian Hill Active,NA,NA,NA
Possession 13-0385,NA,NA,0800,NA,0800,Drew Hall Active,NA,NA,NA
Damaged Property 13-0386,NA,NA,1530,NA,1525,Howard Center Inactive,NA,NA,NA
Poss. Of Marijuana 13-0387,NA,NA,1930,NA,1850,Founders (rear) Active,NA,NA,NA
Unlawful Entry 13-0388,NA,NA,2000,NA,1836,Quadrangle Hall Active,NA,NA,NA
Lost Property 13-0389,NA,NA,2048,NA,2013,Blackburn Ctr. Inactive,NA,NA,NA
Sick Person 13-0390,NA,NA,2019,NA,2019,Meridian Hill Inactive,NA,NA,NA
Auto Accident 13-0391,NA,NA,0800,NA,0800,Ga. Ave & Bryant Active,NA,NA,NA
Injured Person 13-0392,NA,NA,1700,NA,1700,Meridian Hill Inactive,NA,NA,NA
Sick Person 13-0393,NA,NA,1800,NA,1755,Cramton Aud. Inactive,NA,NA,NA
Destruction of Property,13-0394,NA,0336,NA,0310,Plaza Towers,Active,NA,NA
Fire Alarm Activation,13-0395,NA,0330,NA,0329,Slowe Hall,Inactive,NA,NA
Hazardous Water,13-0396,NA,0800,NA,0800,West Campus,Inactive,NA,NA
Damaged Property,13-0397,NA,1900,NA,1445,Burr Gymnasium,Inactive,NA,NA
Student Misconduct,13-0398,NA,1930,NA,1810,Bethune Annex,Inactive,NA,NA
Damaged Property,13-0399,NA,1130,NA,1015,Johnson Lot,Inactive,NA,NA
Auto Accident,13-0400,NA,1130,NA,1130,Ga & Bryant,Active,NA,NA
Miscellaneous,13-0401,NA,1325,NA,1325,Plaza Towers,Inactive,NA,NA
Lost Property,13-0402,NA,1421,NA,0900,Unknown,Inactive,NA,NA
Sick Transport,13-0403,NA,1531,NA,1508,Student Health,Inactive,NA,NA
Theft from Auto,13-0404,NA,2013,NA,1900,South Bannker Lot,Active,NA,NA
Student Misconduct,13-0405,NA,2300,NA,2150,Plaza Towers,Inactive,NA,NA
Sick Transport,13-0406,NA,0800,NA,0800,Plaza Towers,Inactive,NA,NA
Hazardous Water,13-0407,NA,1200,NA,1210,School of Business,Inactive,NA,NA
False Fire Alarm,13-0408,NA,1310,NA,1241,Douglass Hall,Inactive,NA,NA
Sick Transport,13-0409,NA,1350,NA,1350,Student Health,Inactive,NA,NA
Sick Transport,13-0410,NA,2030,NA,1630,Student Health,Inactive,NA,NA
Sick Person,13-0411,NA,2225,NA,2225,Meridian Hill,Inactive,NA,NA
Student Misconduct,13-0412,NA,1318,NA,1215,601 Fairmont NW,Inactive,NA,NA
Identity Theft,13-0413,NA,0800,NA,0800,Mississippi,Inactive,NA,NA
Damaged Property,13-0414,NA,1610,NA,1000,Howard Center,Inactive,NA,NA
Miscellaneous,13-0415,NA,1831,NA,1700,Social Work,Inactive,NA,NA
Student Misconduct,13-0416,NA,1900,NA,1751,Drew Hall,Inactive,NA,NA
Found Property,13-0417,NA,2340,NA,2230,Burr Gymnasium,Inactive,NA,NA
Theft II,13-0418,NA,1250,2003-05-13,0800,Blackburn Center,Active,NA,2003
Unlawful Entry,13-0419,NA,2134,NA,2057,Founder Library,Active,NA,NA
Unlawful Entry,13-0420,NA,0224,NA,0101,Plaza Towers,Active,NA,NA
Simple Assault,13-0421,NA,0530,NA,0101,Plaza Towers,Active,NA,NA
Destruction of Property,13-0422,NA,1139,NA,1130,Meridian Hill,Active,NA,NA
Destruction of Property,13-0423,NA,0800,NA,0800,Beltsville MD,Active,NA,NA
Lost Property,13-0424,NA,0800,NA,0800,Cook Hall,Inactive,NA,NA
Miscellaneous,13-0425,NA,2000,NA,1920,Blackburn Center,Inactive,NA,NA
Aggravated Assault,13-0426,NA,2300,NA,2125,Blackburn Center,Inactive,NA,NA
Lost Property,13-0427,NA,0800,NA,0800,Main Yard,Inactive,NA,NA
Unlawful Entry,13-0428,NA,0800,NA,0800,Mudd Bldg. Active,NA,NA,NA
Miscellaneous,13-0429,NA,1509,NA,0030,447 Lamont St Inactive,NA,NA,NA
Sick Person,13-0430,NA,1210,NA,1150,Meridian Hill Inactive,NA,NA,NA
Fire Alarm Activation,13-0431,NA,2315,NA,2300,Meridian Hill Inactive,NA,NA,NA
Hazardous Elevator,13-0432,2004-01-13,0735,2004-01-13,0720,Plaza Towers Inactive,NA,2004,2004
Sick Student,13-0433,2004-01-13,0930,2004-01-13,0900,Student Health Inactive,NA,2004,2004
Sick Person,13-0434,2004-01-13,1050,2004-01-13,0955,Douglass Hall Inactive,NA,2004,2004
T heft II,13-0435,2004-01-13,0800,2004-01-13,0800,Blackburn Center Active,NA,2004,2004
Miscellaneous,13-0436,2004-01-13,2329,2004-01-13,2310,Service Center Inactive,NA,2004,2004
Domestic Violence,13-0437,2004-01-13,1145,2004-01-13,1115,Drew Hall Active,NA,2004,2004
False Fire Alarm,13-0438,2004-02-13,1012,2004-02-13,1012,Cook Hall Inactive,NA,2004,2004
Injured Person,13-0439,2004-02-13,1050,2004-02-13,1010,Rankin Chapel Inactive,NA,2004,2004
Sick Transport,13-0440,2004-02-13,1150,2004-02-13,1121,Student Health Inactive,NA,2004,2004
Sick Transport,13-0441,2004-02-13,0800,2004-02-13,0800,Student Health Inactive,NA,2004,2004
Student Misconduct,13-0442,2004-02-13,1041,2004-02-13,0817,Stokes Library Active,NA,2004,2004
Found Property,13-0443,2004-02-13,2147,2004-02-13,2150,2400 block of 4th Active,NA,2004,2004
Hazardous elevator,13-0444,2004-03-13,1215,2004-03-13,1150,ETS Building Inactive,NA,2004,2004
Lost Property,13-0445,2004-03-13,1135,2004-03-13,1845,Metro (Bus) Inactive,NA,2004,2004
Theft II,13-0446,2004-03-13,1400,NA,0800,Main Yard Active,NA,2004,NA
Theft II,13-0447,2004-03-13,0800,2004-03-13,0800,Banneker Court Active,NA,2004,2004
Student Misconduct,13-0448,2004-03-13,1630,2004-03-13,1620,Engineering Building Active,NA,2004,2004
Sick Transport,13-0449,2004-03-13,2000,2004-03-13,1847,C.B. Powell Building Inactive,NA,2004,2004
Sick Transport,13-0450,2004-04-13,1226,2004-04-13,1200,Student Health Inactive,NA,2004,2004
Check Fraud,13-0451,2004-04-13,0800,2004-04-13,0800,1803 2nd St. NW Active,NA,2004,2004
Simple Assault,13-0452,2004-04-13,0330,2004-04-13,0035,2326 1 St NW Active,NA,2004,2004
False Fire Alarm,13-0453,2004-04-13,0835,2004-04-13,0600,Howard Center Inactive,NA,2004,2004
Sick Transport,13-0454,2004-05-13,1212,2004-05-13,1210,Student Health Center Inactive,NA,2004,2004
Miscellaneous,13-0455,2004-05-13,1130,2004-05-13,1025,Drew Hall Inactive,NA,2004,2004
Sick Transport,13-0456,2004-05-13,1435,2004-05-13,1415,Student Health Center Inactive,NA,2004,2004
Injured Person,13-0457,2004-05-13,1510,2004-05-13,1417,Mainyard Inactive,NA,2004,2004
Sick Transport,13-0458,2004-05-13,1900,2004-05-13,1650,Slowe Hall Inactive,NA,2004,2004
Student Misconduct,13-0459,2004-05-13,2120,2004-05-13,2045,Blackburn Center Inactive,NA,2004,2004
Damaged Property,13-0460,2004-06-13,0800,2004-06-13,0800,Childers Lot Inactive,NA,2004,2004
Simple Assault,13-0461,2004-06-13,0430,2004-06-13,0145,Quadrangle Hall Active,NA,2004,2004
Theft II,13-0462,2004-06-13,1140,2004-06-13,1345,Mainyard Active,NA,2004,2004
Auto Accident,13-0463,2004-06-13,1200,2004-06-13,1200,2300 blk Ga. Ave Active,NA,2004,2004
Theft II,13-0464,2004-06-13,1732,2004-06-13,1600,Greene Stadium Active,NA,2004,2004
Alarm Activation,13-0465,2004-06-13,1727,2004-06-13,1720,Pharmacy Bldg. Inactive,NA,2004,2004
Student Misconduct,13-0466,2004-07-13,0718,2004-06-13,0715,Meridian Hill Active,NA,2004,2004
Theft from Auto,13-0467,2004-08-13,0800,2004-08-13,0800,Mudd Bldg. Active,NA,2004,2004
Sick Person,13-0468,2004-08-13,0800,2004-08-13,0800,Carver Hall Inactive,NA,2004,2004
Sick Transport,13-0469,2004-08-13,0800,2004-08-13,0800,Student Health Inactive,NA,2004,2004
Sick Person,13-0470,2004-08-13,2113,2004-08-13,2040,Courtyard Inactive,NA,2004,2004
Hazardous Elevator,13-0471,2004-08-13,2305,2004-08-13,2010,Plaza Towers Inactive,NA,2004,2004
Fire Alarm Activation,13-0472,2004-08-13,2300,2004-08-13,2211,Quadrangle Hall Inactive,NA,2004,2004
Sick Transport,13-0473,2004-09-13,0930,2004-09-13,0915,Student Health Center Inactive,NA,2004,2004
Fire,13-0474,2004-09-13,1030,2004-09-13,1030,Dental Sch.(alley) Inactive,NA,2004,2004
Auto Accident,13-0475,2004-09-13,0935,2004-09-13,0935,Girard St NW Active,NA,2004,2004
Miscellaneous,13-0476,2004-09-13,1800,2004-09-13,1725,Meridian Hill Inactive,NA,2004,2004
Theft II,13-0477,2004-09-13,1945,2004-09-13,1800,Blackburn Center Active,NA,2004,2004
Hazardous,13-0478,2004-10-13,1138,2004-10-13,1201,Fine Arts Bldg. Inactive,NA,2004,2004
Fire Alarm,13-0479,2004-10-13,1125,2004-10-13,1115,Cook Hall Inactive,NA,2004,2004
Threats to do Harm,13-0480,2004-10-13,1250,2004-10-13,1135,C.B. Powell Active,NA,2004,2004
Theft from Auto,13-0481,2004-10-13,1410,2004-10-13,1349,Adam Bldg. rear Active,NA,2004,2004
Lost Property,13-0482,2004-10-13,0800,2004-10-13,0800,Unknown Inactive,NA,2004,2004
Injured Person,13-0483,2004-10-13,1755,2004-10-13,1515,Founders Lot Active,NA,2004,2004
Theft from Auto,13-0484,2004-10-13,1045,2004-10-13,0930,600 Block Girard St. Active,NA,2004,2004
Theft II,13-0485,2004-11-13,0800,2004-11-13,0800,Fine Art building Active,NA,2004,2004
Sick Transport,13-0486,2004-11-13,1245,2004-11-13,1235,Student Healh Center Inactive,NA,2004,2004
Student Misconduct,13-0487,2004-11-13,1400,2004-11-13,1306,C.B. Powell building Inactive,NA,2004,2004
Injured Person,13-0488,2004-11-13,0800,2004-11-13,0800,Plaza Towers Inactive,NA,2004,2004
Student Misconduct,13-0489,2004-11-13,1747,2004-11-13,1636,Wonder Plaza Inactive,NA,2004,2004
Hazard Water Leak,13-0490,2004-11-13,2025,2004-11-13,1951,Architecture Planning Inactive,NA,2004,2004
Lost Property,13-0491,2004-11-13,2155,2004-11-13,2120,Greene Stadium Inactive,NA,2004,2004
Possession of Marijuana,13-0492,2004-11-13,2330,2004-11-13,1715,4th & V St. NW Active,NA,2004,2004
Simple Assault,13-0493,2004-11-13,0022,2004-11-13,2325,"2600 blk Ga. Ave., NW Active",NA,2004,2004
Sick Transport,13-0494,2004-12-13,1015,2004-12-13,1021,Meridian Hill Inactive,NA,2004,2004
Sick Transport,13-0495,2004-12-13,1120,2004-12-13,1100,Student Health Inactive,NA,2004,2004
Sick Person,13-0503,NA,1208,NA,1208,Plaza Towers,Inactive,NA,NA
Sick Transport,13-0504,NA,1530,NA,1350,Biology Building,Inactive,NA,NA
Recov. Property,13-0505,NA,2140,NA,2130,Service Center,Inactive,NA,NA
Barring Notice,13-0506,NA,2318,NA,2201,Stokes Court,Active,NA,NA
Damaged Property,13-0500,NA,0150,NA,0039,Plaza Towers,Inactive,NA,NA
Alarm Activation,13-0501,NA,0839,NA,0839,Blackburn Center,Inactive,NA,NA
Sexual Abuse,13-0502,NA,1150,NA,0950,Off Campus,Inactive,NA,NA
Sick Person,13-0503,NA,1208,NA,1208,Plaza Towers,Inactive,NA,NA
Sick Transport,13-0504,NA,1530,NA,1350,Biology Building,Inactive,NA,NA
Recov. Property,13-0505,NA,2140,NA,2130,Service Center,Inactive,NA,NA
Barring Notice,13-0506,NA,2318,NA,2201,Stokes Court,Active,NA,NA
Simple Assault,13-0507,NA,1530,NA,1530,Stokes Library,Active,NA,NA
Found Property,13-0508,NA,0705,NA,0650,Main Yard,Inactive,NA,NA
False Fire Alarm,13-0509,NA,1500,NA,1449,Meridian Hill,Inactive,NA,NA
Lost Property,13-0510,NA,1543,NA,1310,Quadrangle Hall,Inactive,NA,NA
Hazard Elevator,13-0511,NA,1945,NA,1845,Plaza Towers,Inactive,NA,NA
Sick Person,13-0512,NA,0800,NA,0800,C.B. Powell Bldg,Inactive,NA,NA
Theft II,13-0513,NA,0800,NA,0800,Plaza Towers,Active,NA,NA
Sick Person,13-0514,NA,0800,NA,0800,Blackburn Center,Inactive,NA,NA
Lost Property,13-0515,NA,0800,NA,0800,Slowe Hall,Inactive,NA,NA
POCA,13-0516,NA,0800,NA,0800,Founder's (rear),Active,NA,NA
Suspicious Odor,13-0517,NA,0800,NA,0800,Drew Hall,Inactive,NA,NA
False Fire Alarm,13-0518,NA,0800,NA,0800,Meridian Hill,Inactive,NA,NA
Lost Property,13-0519,NA,0800,NA,0800,Admin. Bldg.,Inactive,NA,NA
Sick Person,13-0520,NA,0800,NA,0800,Service Center,Inactive,NA,NA
Poss. Of Marijuana,13-0521,NA,0800,NA,0800,M St. NW,Active,NA,NA
Recov. Property.,13-0522,NA,0800,NA,0800,Unknown,Inactive,NA,NA
Student Misconduct,13-0523,NA,0800,NA,0800,Drew Hall,Inactive,NA,NA
Lost Property,13-0524,NA,0800,NA,0800,Drew Hall,Inactive,NA,NA
Fire Alarm,13-0525,NA,0600,NA,0115,Plaza Towers,Inactive,NA,NA
False Fire Alarm,13-0526,NA,0730,NA,0700,Slowe Hall,Inactive,NA,NA
Miscellaneous,13-0527,NA,1150,NA,0915,Engineering Bldg`,Inactive,NA,NA
Sick Transport,13-0528,NA,1336,NA,1046,Student Health,Inactive,NA,NA
Damaged Property,13-0529,NA,0957,NA,0900,Plaza Towers,Inactive,NA,NA
Sick Transport,13-0530,NA,1330,NA,1248,Admin. Bldg.,Inactive,NA,NA
Unlawful Entry,13-0531,NA,1330,NA,1248,Admin. Bldg.,Active,NA,NA
Vehicle Accident,13-0532,NA,0800,NA,0800,200 blk of Elm St. NW,Inactive,NA,NA
Suspicious Odor,13-0533,NA,144-,NA,1400,Blackburn Center,Inactive,NA,NA
Hit & run,13-0534,NA,1850,NA,1515,Childers Lot,Inactive,NA,NA
Miscellaneous,13-0535,NA,1922,NA,2100,1929 1st. NW,Inactive,NA,NA
Vehicle Accident,13-0536,NA,2320,NA,2320,200 blk of Elm St. NW,Inactive,NA,NA
Theft from Auto,13-0547,NA,2230,NA,2230,School of Business,Active,NA,NA
Vehicle Accident,13-0551,NA,1719,NA,1719,2800 Georgia Ave,Active,NA,NA
Sick Person,13-0537,NA,1245,NA,1203,Plaza Towers,Inactive,NA,NA
Sick Person,13-0538,NA,1340,NA,1340,Blackburn Center,Inactive,NA,NA
Damaged Property,13-0539,NA,1723,NA,0815,Cramton Aud.,Inactive,NA,NA
Student Misconduct,13-0540,NA,1700,NA,1700,Slowe Hall,Inactive,NA,NA
Sick Person,13-0548,NA,0630,NA,0441,Plaza Towers,Inactive,NA,NA
Sexual Assault,13- 054  1,NA,  1120,NA,  1  120,36  2128t hSt  . NE,Act i  v  e,NA,NA
Vehicle Accident,13-0542,NA,1410,NA,1410,1500 blk Euclid St,Active,NA,NA
Suspicious Odor,13-0543,NA,0850,NA,1740,Drew Hall,Inactive,NA,NA
Alarm Activation,13-0544,NA,0930,NA,1815,Cook Hall,Inactive,NA,NA
Suspicious Odor,13-0549,NA,2150,NA,2150,Meridian Hill,Inactive,NA,NA
Damaged Property,13-0545,NA,0800,NA,0800,Barry Pl. NW,Inactive,NA,NA
Fire Alarm Activation,13-0546,NA,0124,NA,0124,Meridian Hill,Inactive,NA,NA
Lost Property,13-0552,NA,0800,NA,0800,Main Yard,Inactive,NA,NA
Destruction of Property,13-0553,NA,0800,NA,1500,Founders Library,Active,NA,NA
Student Misconduct,13-0554,NA,2003,NA,1905,Carver Hall,Inactive,NA,NA
Sick Person,13-0555,NA,0800,NA,0800,Bethune Annex,Inactive,NA,NA
Sick Person,13-0556,NA,0800,NA,0800,Bethune Annex,Inactive,NA,NA
Sick Transport,13-0557,NA,0015,NA,0300,Quadrangle Hall,Inactive,NA,NA
Injured Person,13-0558,NA,0841,NA,0845,Howard Center,Inactive,NA,NA
Sick Transport,13-0559,NA,1555,NA,1535,Student Health,Inactive,NA,NA
Fire Alarm Activation,13-0560,NA,0931,NA,0840,Cook Hall,Inactive,NA,NA
Student Misconduct,13-0561,NA,1230,NA,1145,Howard Center,Inactive,NA,NA
Injured Person,13-0562,NA,1200,NA,0836,West Campus,Inactive,NA,NA
Lost Property,13-0563,NA,1810,NA,1645,Cook Hall,Inactive,NA,NA
Student Misconduct,13-0564,NA,0400,NA,0146,Plaza Tower,Active,NA,NA
Fire Alarm Activation,13-0565,NA,0400,NA,0210,Meridian Hill,Inactive,NA,NA
Aggravated Assault,13-0566,NA,0200,NA,2200,400 blk Elm St.NW,Active,NA,NA
Sick Person,13-0567,NA,1449,NA,1325,Plaza Tower,Inactive,NA,NA
Sick Person,13-0568,NA,0800,NA,0800,Meridian Hill,Inactive,NA,NA
Sick Person,13-0569,NA,1731,NA,1547,Cramton Auditorium,Inactive,NA,NA
Miscellaneous,13-0570,NA,1500,NA,0930,HURB-1,Inactive,NA,NA
Sick Transport,13-0571,NA,0551,NA,0515,Plaza Towers,Active,NA,NA
Arm Robbery,13-0572,NA,0151,NA,0143,UGL  roof top,Active,NA,NA
Possession of Marijuana,13-0573,NA,0325,NA,0320,Architect.& Planning,Active,NA,NA
Miscellaneous,13-0574,NA,0800,NA,0800,Physic Bldg.,Inactive,NA,NA
Sick Transport,13-0575,NA,1035,NA,1000,Student Health Center,Inactive,NA,NA
Miscellaneous,13-0600,NA,1155,NA,1200,Founder Library(rear),Inactive,NA,NA
Fire Alarm Activation,13-0601,NA,0800,NA,0800,Slowe Hall,Inactive,NA,NA
Fire Alarm Activation,13-0602,NA,1930,NA,1800,Slowe Hall,Inactive,NA,NA
Suspicious Odor,13-0603,NA,2235,NA,2140,Carver Hall,Inactive,NA,NA
Robbery Snatch,13-0604,NA,2113,NA,2113,Douglass Hall,Active,NA,NA
Robbery Snatch,13-0605,NA,2344,NA,2330,Quadrangle Hall,Active,NA,NA
Missing Person,13-0606,NA,0800,NA,0800,Drew Hall,Active,NA,NA
Fire Alarm Activation,13-0607,NA,0800,NA,0800,Engineering Bldg,Inactive,NA,NA
Founder Property,13-0608,NA,0800,NA,0800,Main Gate,Inactive,NA,NA
Fire Alarm Activation,13-0609,NA,1945,NA,1917,Plaza Towers,Inactive,NA,NA
Fire Alarm Activation,13-0610,NA,0940,NA,0920,Meridian Hill,Inactive,NA,NA
Miscellaneous,13-0611,NA,0800,NA,0800,770 Gresham Pl. NW,Inactive,NA,NA
Unlawful Entry,13-0614,NA,0800,NA,0800,Meridian Hill,Active,NA,NA
Fire Alarm Activation,13-0615,NA,0150,NA,0150,Meridian Hill,Inactive,NA,NA
Unlawful Entry,13-0616,NA,0800,NA,0800,Howard Manor,Active,NA,NA
Sick Transport,13-0617,NA,1800,NA,1450,Plaza Towers,Inactive,NA,NA
Alarm Activation,13-0618,NA,1845,NA,1830,Cook Hall,Inactive,NA,NA
Alarm Activation,13-0619,NA,1840,NA,1840,Meridian Hill,Inactive,NA,NA
student Misconduct,13-0620,NA,2150,NA,2140,Stokes Library,Inactive,NA,NA
Disorderly Conduct,13-0621,NA,1332,NA,1130,Dental School,Inactive,NA,NA
Sick Person,13-0622,NA,1727,NA,1715,C. B. Powell Bldg.,Inactive,NA,NA
Student Misconduct,13-0623,NA,1745,NA,1825,Bethune Annex,Inactive,NA,NA
Simple Assault,13-0624,NA,1950,NA,1658,300 blk U St. NW,Active,NA,NA
Fire Alarm Activation,13-0625,NA,2125,NA,1920,Slowe Hall,Inactive,NA,NA
Student Misconduct,13-0626,NA,2350,NA,2340,Plaza Towers,Inactive,NA,NA
Hazard Elevator,13-0627,NA,0051,NA,0051,Meridian Hill,Inactive,NA,NA
Vehicle Accident,13-0628,2005-01-13,1104,2005-01-13,1104,Plaza Lot,Active,2005,2005
Injured Person,13-0629,2005-01-13,1430,2005-01-13,1056,4th College St.NW,Inactive,2005,2005
Sick Transport,13-0630,2005-01-13,1600,2005-01-13,1440,6th Bryant St. NW,Inactive,2005,2005
Theft I,13-0631,2005-01-13,0800,2005-01-13,0800,Dental School,Active,2005,2005
Miscellaneous,13-0632,2005-01-13,1710,2005-01-13,1611,Middle School,Inactive,2005,2005
Student Misconduct,13-0633,2005-01-13,1940,2005-01-13,1800,Meridian Hill,Inactive,2005,2005
Hazardous Elevator,13-0634,2005-01-13,2138,2005-01-13,2024,I-LAB,Inactive,2005,2005
