report_date,incident,incident_narrative,incident_number,date_occured,time_occured,general_location,disposition,year_occured,year_reported
2016-08-28,unlawful entry, officers madecontact with a non-affiliate whoattempted to flee and wasuncooperative after he was foundsleeping at the listed location.,16-001231,2016-08-28,0327,bus turn-around,case closed with barring,2016,2016
2016-08-28,alcohol violation, an underagestudent was consuming analcoholic beverage.,16-001235,2016-02-28,1710,lxr,referred to studentconduct,2016,2016
2016-08-29,alcohol violation, an underagestudent was in possession of anopen container of alcohol.,16-001240,2016-08-29,0030,37th & prospect st,referred to studentconduct,2016,2016
2016-08-29,urinating in public, a student wasobserved urinating in public.,16-001242,2016-08-29,0032,village a,referred to studentconduct,2016,2016
2016-08-29,drug violation, drugs and drugparaphernalia were recovered froman apartment in the listedresidence.,16-001245,2016-08-29,0036,henle village,referred to studentconduct,2016,2016
2016-08-29,simple assault, a student reportedbeing assaulted after he refused toleave a party he wasn't invited to.,16-001252,2016-08-27,0030,henle village,referred to studentconduct,2016,2016
2016-08-29,drug violation, drugs wererecovered from a residence.,16-001256,2016-08-29,2355,village a,referred to studentconduct,2016,2016
2016-08-30,alcohol violation, an underagestudent was found in possession ofan alcoholic beverage.,16-001259,2016-08-30,0004,village a,referred to studentconduct,2016,2016
2016-08-30,drug violation, drugs wererecovered from a residence.,16-001262,2016-08-30,0149,leavey centeresplande,referred to studentconduct,2016,2016
2016-08-30,alcohol violation, an underagestudent was in possession of anopen container of alcohol.,16-001272,2016-08-30,0050,village a,referred to studentconduct,2016,2016
2016-08-31,theft, a student reported the theftof an unattended iphone.,16-001277,2016-08-31,1450,icc,case pending investigation,2016,2016
2016-09-01,theft, a student reported the theftof an unattended cell phone from abookshelf in the listed building.,16-001286,2016-08-30,1800,old north,case pending investigation,2016,2016
2016-09-02,theft, a student reported the theftof an unattended bag.,16-001295,2016-09-02,1711,alumni square,case pending investigation,2016,2016
2016-09-02,theft, a student reported the theftof a purse.,16-001297,2016-09-02,1700,darnall hall,case pending investigation,2016,2016
2016-09-03,drug violation, drugs wererecovered from the listed location.,16-001303,2016-09-03,1022,alumni square,referred to studentconduct,2016,2016
2016-09-03,theft, a student reported the theftof a wallet.,16-001307,2016-09-03,2006,o'donovan hall,case pending investigation,2016,2016
2016-09-03,urinating in public, a studenturinated in public.,16-001312,2016-09-03,0058,wolfington hall,referred to studentconduct,2016,2016
2016-09-04,urinating in public, a studenturinated in public.,16-001313,2016-09-03,0058,wolfington hall,referred to studentconduct,2016,2016
2016-09-04,alcohol violation, an underagestudent was in possession of anopen container of alcohol.,16-001328,2016-09-04,2235,darnall hall,referred to studentconduct,2016,2016
2016-09-04,alcohol violation, an underagestudent was in possession of anopen container of alcohol.,16-001329,2016-09-04,2323,healy circle,referred to studentconduct,2016,2016
2016-09-04,alcohol violation, an underagestudent was in possession of anopen container of alcohol.,16-001330,2016-09-04,2335,library walk,referred to studentconduct,2016,2016
2016-09-04,alcohol violation, an underagestudent was in possession of anopen container of alcohol.,16-001331,2016-09-04,2339,library walk,referred to studentconduct,2016,2016
2016-09-05,simple assault, a student reportedan assault.,16-001334,2016-09-05,0025,village a,referred to studentconduct,2016,2016
2016-09-05,urinating in public, a studenturinated in public.,16-001335,2016-09-05,0045,37th & n st,referred to studentconduct,2016,2016
2016-09-05,urinating in public, two studentsurinated in public.,16-001340,2016-09-05,0025,lauinger library,referred to studentconduct,2016,2016
2016-09-05,theft, a student reported the theftof a bicycle.,16-001347,2016-09-05,1815,lxr,case pending investigation,2016,2016
2016-09-06,burglary, a burglary was reportedfrom the listed building.,16-001352,2016-09-06,1508,healy hall,case pending investigation,2016,2016
2016-09-07,burglary, a burglary was reportedfrom the listed building.,16-001355,2016-09-07,0200,new south hfsc,case pending investigation,2016,2016
2016-09-07,theft, a student reported the theftof a bicycle.,16-001359,2016-09-07,1500,regents hall,case pending investigation,2016,2016
2016-09-08,unlawful entry, officers madecontact with a suspicious male whorefused to cooperate with officerswho were checking on his welfareand was not affiliated with theuniversity.,16-001362,2016-09-08,0045,southwest quad,case closed with barring,2016,2016
2016-09-08,theft, a bicycle was reportedstolen from in front of the listedlocation.,13-001368,2016-09-07,1900,yates field house,case pending investigation,2016,2016
2016-09-10,theft, a ring was reported stolen.,16-001390,2016-09-09,2340,village a,case pending investigation,2016,2016
2016-09-10,theft, a student reported the theftof personal property.,16-001395,2016-09-10,0130,village a,case pending investigation,2016,2016
2016-09-11,theft, a student reported the theftof a camera.,16-001412,2016-09-11,1000,copley lawn,case pending investigation,2016,2016
2016-09-12,theft, a student reported the theftof clothing from a laundry room.,16-001416,2016-09-11,1400,mccarthy hall,case pending investigation,2016,2016
2016-09-12,theft, a student reported the theftof a bicycle.,16-001418,2016-09-11,2000,regents hall,case pending investigation,2016,2016
2016-09-14,theft, a student reported the theftof property.,16-001425,2016-09-14,1900,1411 37th st,case pending investigation,2016,2016
2016-09-14,drug violation, drugs wererecovered from the listed location.,16-001429,2016-09-14,2056,darnall hall,case pending investigation,2016,2016
2016-09-15,theft, a student reported the theftof property.,16-001438,2016-09-15,0900,yates field house,case pending investigation,2016,2016
2016-09-16,theft, a student reported the theftof unattended property.,16-001445,2016-09-16,1530,village c west,case pending investigation,2016,2016
2016-09-17,urinating in public, a studenturinated in public.,16-001448,2016-09-17,0021,1226 36th st,referred to studentconduct,2016,2016
2016-09-17,theft, a student reported the theftof property.,16-001453,2016-09-17,1100,lxr,case pending investigation,2016,2016
2016-09-17,theft, a staff member reported thetheft of university keys.,16-001456,2016-09-17,0600,healy hall,case pending investigation,2016,2016
2016-09-19,theft, a student reported the theftof a laptop.,16-001475,2016-09-19,1000,icc,case pending investigation,2016,2016
2016-09-19,burglary, a burglary was reportedfrom the listed building.,16-001476,2016-09-19,1020,mcdonoughgymnasium,mpd responded and ishandling the investigation,2016,2016
2016-09-19,theft, a staff member reported thetheft of a wallet.,16-001477,2016-09-19,1045,icc,case pending investigation,2016,2016
2016-09-20,theft, an unattended handbag wasreported stolen.,16-001488,2016-09-19,1500,icc,case pending investigation,2016,2016
2016-09-20,receiving stolen property, officersmade contact with a non-affiliatewho was in possession of stolenproperty.,16-001492,2016-09-20,1643,36th & o st,case closed with barring,2016,2016
2016-09-21,defacement of property, raciallyand religiously offensive grafittiwas discovered written on the wallof a bathroom stall.,16-001497,2016-09-21,1050,pre-clinicalscience,case pending investigation,2016,2016
2016-09-22,theft, a staff member reported thetheft of university equipment.,16-001509,2016-09-21,1230,mccarthy hall,case pending investigation,2016,2016
2016-09-22,unlawful entry, officers madecontact with a subject who hadpreviously been barred.,16-001510,2016-09-22,1614,car barn,case closed with arrest,2016,2016
2016-09-22,theft, a student reported the theftof us currency.,16-001511,2016-09-21,1230,freedom hall,case pending investigation,2016,2016
2016-09-23,stolen auto, a student reported thetheft of a motor scooter.,16-001515,2016-09-23,0010,copley hall,case pending investigation,2016,2016
2016-09-23,theft, a student reported the theftof a backpack.,16-001519,2016-09-23,1245,o'donovan hall,case pending investigation,2016,2016
2016-09-23,burglary, a burglary was reportedfrom a residence.,16-001521,2016-09-23,1850,village c west,case pending investigation,2016,2016
2016-09-24,alcohol violation, underagestudents were in possession ofalcoholic beverages.,16-001535,2016-09-24,2207,darnall hall,referred to studentconduct,2016,2016
2016-09-24,drug violation/alcohol violation,drugs and open containers ofalcohol were recovered fromunderage students at the listedlocation.,16-001536,2016-09-24,2237,village c west,referred to studentconduct,2016,2016
2016-09-26,theft, a student reported the theftof a bicycle.,16-001549,2016-09-26,1330,lxr,case pending investigation,2016,2016
2016-09-27,receiving stolen property/drugviolation, a non-affiliate was inpossession of a stolen bike anddrugs.,16-001556,2016-09-27,2330,dalghren library,case closed with arrest,2016,2016
2016-09-28,drug violation, drugs wererecovered from an apartment in thelisted location.,16-001563,2016-09-28,1807,henle village,referred to studentconduct,2016,2016
2016-09-29,drug violation, drugs wererecovered from an apartment in thelisted location.,16-001567,2016-09-29,0004,alumni square,referred to studentconduct,2016,2016
2016-09-29,theft, a student reported the theftof a bicycle.,16-001571,2016-09-26,1500,arrupe hall,case pending investigation,2016,2016
2016-09-29,harassment, a student reportedreceiving harassing text messages.,16-001573,2016-09-29,2130,mccarthy hall,referred to studentconduct,2016,2016
2016-09-30,theft, a theft was reported from thelisted building.,16-001578,2016-09-30,1415,old north,case pending investigation,2016,2016
2016-09-30,theft, a student reported the theftof a bicycle.,16-001579,2016-09-28,1730,o'donovan hall,case pending investigation,2016,2016
2016-09-30,drug violation, drugs wererecovered from a student and a nonaffiliate at the listed location.,16-001583,2016-09-30,2347,village a,case closed withbarring/referred to studentconduct,2016,2016
2016-10-02,theft, a student reported the theftof a bicycle.,16-001600,2016-10-02,1146,red square,case pending investigation,2016,2016
2016-10-02,drug violation, drugs wererecovered from a residence.,16-001603,2016-10-02,2321,henle village,referred to studentconduct,2016,2016
2016-10-03,theft, thefts of parking passeswere reported.,16-001608,2016-10-03,1654,o'donovan hall,case pending investigation,2016,2016
2016-10-03,theft, a student reported the theftof a bicycle.,16-001609,2016-10-03,0845,red square,case pending investigation,2016,2016
2016-10-04,theft, a student reported the theftof a bicycle.,16-001616,2016-10-04,1330,lauinger library,case pending investigation,2016,2016
2016-10-04,drug violation, drugs wererecovered from a residence.,16-001617,2016-10-04,2030,mccarthy hall,referred to studentconduct,2016,2016
2016-10-05,theft, a student reported the theftof a wallet.,16-001622,2016-10-05,1215,basic science,case pending investigation,2016,2016
2016-10-05,drug violation, drugs wererecovered from a residence.,16-001628,2016-10-05,1920,3621 prospect st,referred to studentconduct,2016,2016
2016-10-06,theft, a student reported the theftof a laptop.,16-001633,2016-10-05,1730,regents hall,case pending investigation,2016,2016
